,물품대분류,상품명,물품판매량,제품단가,재구매기간0-10,재구매기간11-20,재구매기간21-30,재구매기간31-40,재구매기간41-50,재구매기간51-60,재구매기간61-70,재구매기간71-80,재구매기간81-90,재구매기간91-100,재구매기간101-
171,FC,좋은느낌 유기농순면 뉴 맥시슬림 수퍼롱 오버나이트 8개입 (EA),37,6555,,,,1.0,,,,,,,
172,FC,좋은느낌 유기농순면 뉴 맥시슬림 오버나이트 12개입 (EA),23,7642,,,,,,1.0,,,,,
173,FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,22,25200,,,,,,,,,,,
174,FC,좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,24,25575,,,,,,,,,,,
175,FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 대형 16개입 (EA),17,8735,,,,,,,,,,,
176,FC,좋은느낌 유기농순면 뉴 울트라슬림 날개 중형 18개입 (EA),11,8640,,,,,,,,,,,
177,FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2,149,10933,1.0,,,1.0,,,2.0,,,,
178,FC,좋은느낌 유기농순면 팬티라이너 롱 36개입 X 2 (EA),5,7200,,,,,,,,,,,
179,FC,좋은느낌 입는 오버나이트 대형 8개입,444,14301,17.0,3.0,3.0,4.0,5.0,4.0,,6.0,3.0,2.0,16.0
180,FC,좋은느낌 입는 오버나이트 대형 8개입 (EA),19,14560,,,,,,,,,,,
181,FC,좋은느낌 입는 오버나이트 대형 8개입 X2,11,32582,,,,,,,,,,,
182,FC,좋은느낌 입는 오버나이트 대형 8개입 X 2,12,24267,,,,,,,,,,,
183,FC,좋은느낌 입는 오버나이트 중형 8개입,206,14178,20.0,2.0,1.0,2.0,1.0,1.0,,,,,5.0
184,FC,좋은느낌 입는 오버나이트 중형 8개입 (EA),9,10640,,,,,,,,,,,
185,FC,좋은느낌 입는 오버나이트 중형 8개입 X2,13,22400,,,,,,,,,,,
186,FC,좋은느낌 입는 오버나이트 중형 8개입 X 2,15,25387,,,,,,,,,,,
187,FC,좋은느낌 좋은순면 슬림 날개 수퍼롱 10개입,23,13283,,,,1.0,,,,,,,
188,FC,좋은느낌 좋은순면 울트라 날개 대형 17개입,95,9881,,1.0,,,,,,1.0,1.0,,2.0
189,FC,좋은느낌 좋은순면 울트라 날개 대형 17개입 (EA),1,5670,,,,,,,,,,,
190,FC,좋은느낌 좋은순면 울트라 날개 중형 19개입,121,10674,1.0,,,,,,,1.0,,,2.0
191,FC,좋은느낌 좋은순면 울트라 날개 중형 19개입 (EA),1,5670,,,,,,,,,,,
192,FC,좋은느낌 좋은순면 팬티라이너 롱 36개입,479,8023,6.0,2.0,4.0,,1.0,2.0,1.0,1.0,2.0,2.0,5.0
193,FC,좋은느낌 좋은순면 팬티라이너 롱 36개입 (EA),18,5400,,,,,,,,,,,
194,FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입,609,9277,6.0,1.0,3.0,6.0,,3.0,,,,1.0,8.0
195,FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입 (EA),9,8000,,,,,,,,,,,
196,FC,좋은느낌 팬티라이너 유기농 순면 롱 36개입 X 3,24,21938,,,,,,,,,,,
197,FC,좋은느낌라이너 유기농순면 롱 팬티라이너 36개입 (EA),27,7000,1.0,,,,,,1.0,,,,
198,FC,좋은느낌라이너 유기농순면 롱 팬티라이너 36개입 X 2 (EA),44,8836,,,1.0,,,,,,,,
199,FC,화이트 스타일핏 수퍼울트라 날개 대형 16입,25,8968,1.0,,1.0,,,,1.0,,,,
200,FC,화이트 스타일핏 수퍼울트라 날개 중형 18개입,13,8169,,,,,,,,,,,
201,FC,화이트 시크릿홀 가든프레시뉴 울트라 날개 대형 16개입,30,10260,,1.0,,1.0,,,,,,,
202,FC,화이트 시크릿홀 가든프레시뉴 울트라 날개 중형 18개입,20,9690,,,,,,,1.0,,,,
203,FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입,62,8867,3.0,1.0,,,,,,,,,
204,FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입 (EA),19,7926,,,,,,,,,,,
205,FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입 X3,4,44100,,,,,,,,,,,
206,FC,화이트 시크릿홀 수퍼롱 10개입,88,10019,,,1.0,,,1.0,1.0,,,,
207,FC,화이트 시크릿홀 울트라 날개 대형 17개입,47,11936,2.0,,,,,,,,,,
208,FC,화이트 시크릿홀 울트라 날개 중형 19개입,137,10407,,,2.0,,,,,,,,1.0
209,FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입,50,8250,,,,,,,,,,,
210,FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입 (EA),9,6050,,,,,,,,,,,
211,FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입 X3,1,50400,,,,,,,,,,,
212,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입,82,9630,,,,,,,,,,,
213,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입 (EA),21,5679,,,,1.0,,,,,,,
214,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입 X3,3,42000,,,,,,,,,,,
215,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입+울트라슬림 날개 대형 17개입+맥시슬림 수퍼롱 오버나이트 10개입,2,25200,,,,,,,,,,,
216,FC,화이트 에코프레시 맥시슬림 날개 대형 14개입,31,10858,,,,,,,,,,,
